file,roundId,optionId,word,imageId
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enBodyPartsData.ts,1802,558,"dil",558
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enBodyPartsData.ts,1803,490,"kulak",490
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enBodyPartsData.ts,1803,564,"göz",564
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enBodyPartsData.ts,1803,556,"burun",556
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enBodyPartsData.ts,1803,285,"el",285
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enBodyPartsData.ts,1804,285,"el",285
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enBodyPartsData.ts,1804,561,"ayak",561
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enBodyPartsData.ts,1804,560,"kol",560
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enBodyPartsData.ts,1804,562,"bacak",562
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enBodyPartsData.ts,1805,561,"ayak",561
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enBodyPartsData.ts,1805,285,"el",285
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enBodyPartsData.ts,1805,560,"kol",560
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enBodyPartsData.ts,1805,562,"bacak",562
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enBodyPartsData.ts,1806,662,"saç",662
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enBodyPartsData.ts,1806,555,"kaş",555
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enBodyPartsData.ts,1806,564,"göz",564
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enBodyPartsData.ts,1806,556,"burun",556
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enBodyPartsData.ts,1807,557,"dudak",557
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enBodyPartsData.ts,1807,564,"göz",564
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enBodyPartsData.ts,1807,556,"burun",556
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enBodyPartsData.ts,1807,490,"kulak",490
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enBodyPartsData.ts,1808,558,"dil",558
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enBodyPartsData.ts,1808,557,"dudak",557
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enBodyPartsData.ts,1808,564,"göz",564
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enBodyPartsData.ts,1808,490,"kulak",490
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enBodyPartsData.ts,1809,560,"kol",560
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enBodyPartsData.ts,1809,562,"bacak",562
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enBodyPartsData.ts,1809,285,"el",285
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enBodyPartsData.ts,1809,561,"ayak",561
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enBodyPartsData.ts,1810,562,"bacak",562
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enBodyPartsData.ts,1810,560,"kol",560
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enBodyPartsData.ts,1810,285,"el",285
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enBodyPartsData.ts,1810,561,"ayak",561
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enFoodsData.ts,1611,129,"marul",129
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enFruitsData.ts,1101,43,"elma",43
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enFruitsData.ts,1101,114,"muz",114
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enFruitsData.ts,1101,171,"çilek",171
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enFruitsData.ts,1101,115,"portakal",115
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enFruitsData.ts,1102,114,"muz",114
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enFruitsData.ts,1102,365,"armut",365
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enFruitsData.ts,1102,88,"üzüm",88
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enFruitsData.ts,1102,43,"elma",43
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enFruitsData.ts,1103,115,"portakal",115
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enFruitsData.ts,1103,43,"elma",43
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enFruitsData.ts,1103,88,"üzüm",88
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enFruitsData.ts,1103,703,"limon",703
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enFruitsData.ts,1104,171,"çilek",171
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enFruitsData.ts,1104,170,"karpuz",170
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enFruitsData.ts,1104,703,"limon",703
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enFruitsData.ts,1104,278,"kiraz",278
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enFruitsData.ts,1105,88,"üzüm",88
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enFruitsData.ts,1105,114,"muz",114
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enFruitsData.ts,1105,115,"portakal",115
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enFruitsData.ts,1105,171,"çilek",171
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enFruitsData.ts,1106,170,"karpuz",170
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enFruitsData.ts,1106,295,"kavun",295
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enFruitsData.ts,1106,43,"elma",43
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enFruitsData.ts,1106,279,"ananas",279
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enFruitsData.ts,1107,703,"limon",703
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enFruitsData.ts,1107,115,"portakal",115
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enFruitsData.ts,1107,114,"muz",114
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enFruitsData.ts,1107,365,"armut",365
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enFruitsData.ts,1108,365,"armut",365
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enFruitsData.ts,1108,43,"elma",43
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enFruitsData.ts,1108,703,"limon",703
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enFruitsData.ts,1108,114,"muz",114
